first_author,title,journal,pub_date,doi,pmid,pmcid,cites,pub_type,source,added,scopus_eid
Patel JC,Chronic lifestyle diseases display seasonal sensitive comorbid trend in human population evidence from Google Trends.,PLoS One,2018-12-12,10.1371/journal.pone.0207359,30540756,PMC6291106,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Wang X,Chronic obstructive pulmonary disease candidate gene prioritization based on metabolic networks and functional information.,PLoS One,2017-09-05,10.1371/journal.pone.0184299,28873096,PMC5584748,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Xiao Y,CIDO-COVID-19: An Ontology for COVID-19 Based on CIDO,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2021-01-01,10.1109/EMBC46164.2021.9629555,34891707,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85122501867
He Y,"CIDO, a community-based ontology for coronavirus disease knowledge and data integration, sharing, and analysis.",Sci Data,2020-06-12,10.1038/s41597-020-0523-6,32533075,PMC7293349,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
He Y,CIDO: The community-based coronavirus infectious disease ontology,CEUR Workshop Proceedings,2020-01-01,NA,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85101058720
Yao D,Circ2Disease: a manually curated database of experimentally validated circRNAs in human disease.,Sci Rep,2018-07-20,10.1038/s41598-018-29360-3,30030469,PMC6054656,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Lan W,CircR2Cancer: a manually curated database of associations between circRNAs and cancers.,Database (Oxford),2020-01-01,10.1093/database/baaa085,33181824,PMC7661096,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhang Y,CircRNA-disease associations prediction based on metapath2vec++ and matrix factorization,Big Data Mining and Analytics,2020-12-01,10.26599/BDMA.2020.9020025,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85096453581
Hill DP,Cisplatin-resistant triple-negative breast cancer subtypes: multiple mechanisms of resistance.,BMC Cancer,2019-11-04,10.1186/s12885-019-6278-9,31684899,PMC6829976,2015_MG_Schriml|2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Griffith M,CIViC is a community knowledgebase for expert crowdsourcing the clinical interpretation of variants in cancer.,Nat Genet,2017-01-31,10.1038/ng.3774,28138153,PMC5367263,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Hu X,Clarithromycin interactions with palbociclib (Cdk4/6 inhibitor),Latin American Journal of Pharmacy,2021-01-01,NA,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85110181479
Zwierzyna M,Classification and analysis of a large collection of in vivo bioassay descriptions.,PLoS Comput Biol,2017-07-05,10.1371/journal.pcbi.1005641,28678787,PMC5517062,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Haendel MA,"Classification, Ontology, and Precision Medicine.",N Engl J Med,2018-10-11,10.1056/NEJMra1615014,30304648,PMC6503847,NA,Journal Article|Review,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Watson DS,Clinical applications of machine learning algorithms: Beyond the black box,BMJ (Online),2019-01-01,10.1136/bmj.l886,30862612,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85062890886
Zhang L,Clinical Significance of microRNA-196b-5p in Hepatocellular Carcinoma and its Potential Molecular Mechanism.,J Cancer,2019-08-29,10.7150/jca.29293,31632480,PMC6775707,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Perez-Arriaga MO,Clinical Trials Data Management in the Big Data Era,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020-01-01,10.1007/978-3-030-59612-5_14,NA,NA,2019_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85092095284
Ostaszewski M,Clustering approaches for visual knowledge exploration in molecular interaction networks.,BMC Bioinformatics,2018-08-29,10.1186/s12859-018-2314-z,30157777,PMC6116538,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Yu G,clusterProfiler: an R package for comparing biological themes among gene clusters.,OMICS,2012-05-01,10.1089/omi.2011.0118,22455463,PMC3339379,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Junge A,CoCoScore: context-aware co-occurrence scoring for text mining applications using distant supervision.,Bioinformatics,2020-01-01,10.1093/bioinformatics/btz490,31199464,PMC6956794,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Yang S,COEXPEDIA: exploring biomedical hypotheses via co-expressions associated with medical subject headings (MeSH).,Nucleic Acids Res,2017-01-04,10.1093/nar/gkw868,27679477,PMC5210615,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Reumann M,Cognitive DDx Assistant in Rare Diseases.,Annu Int Conf IEEE Eng Med Biol Soc,2018-07-01,10.1109/EMBC.2018.8513041,30441083,NA,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Apolinario-Arzube Ó,Collaborativehealth: Smart technologies to surveil outbreaks of infectious diseases through direct and indirect citizen participation,Advances in Intelligent Systems and Computing,2020-01-01,10.1007/978-3-030-51974-2_15,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85089622480
Acosta-Martin AE,Combining bioinformatics and MS-based proteomics: Clinical implications,Expert Review of Proteomics,2014-01-01,10.1586/14789450.2014.900446,24720436,NA,2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:48:19Z,2-s2.0-84901019392
Althubaiti S,Combining lexical and context features for automatic ontology extension.,J Biomed Semantics,2020-01-13,10.1186/s13326-019-0218-0,31931870,PMC6958746,2019_NAR_Schriml|2012_NAR_Schriml|2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Overby CL,Combining multiple knowledge sources: A case study of drug induced liver injury,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2015-01-01,10.1007/978-3-319-21843-4_1,NA,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-84947223760
Sundberg JP,"Commentary: mouse genetic nomenclature. Standardization of strain, gene, and protein symbols.",Vet Pathol,2010-11-01,10.1177/0300985810374837,20685919,PMC3039125,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Karlow JA,Common DNA methylation dynamics in endometriod adenocarcinoma and glioblastoma suggest universal epigenomic alterations in tumorigenesis.,Commun Biol,2021-05-21,10.1038/s42003-021-02094-1,34021236,PMC8140130,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
De Souza AD,Communication among medical information systems: Principles for elaborating definitions,Revista Digital de Biblioteconomia e Ciencia da Informacao,2020-01-01,10.20396/RDBCI.V18I0.8657089,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85093506096
Moni MA,comoR: a software for disease comorbidity risk assessment.,J Clin Bioinforma,2014-05-23,10.1186/2043-9113-4-8,25045465,PMC4081507,2012_NAR_Schriml|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Glicksberg BS,Comparative analyses of population-scale phenomic data in electronic medical records reveal race-specific disease networks.,Bioinformatics,2016-06-15,10.1093/bioinformatics/btw282,27307606,PMC4908366,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Guo H,Comparative Hepatotoxicity of Novel PFOA Alternatives (Perfluoropolyether Carboxylic Acids) on Male Mice,Environmental Science and Technology,2019-04-02,10.1021/acs.est.9b00148,30865431,NA,2015_NAR_Kibbe|2012_NAR_Schriml|2009_BMCG_Osborne,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85063788627
Davis AP,Comparative Toxicogenomics Database (CTD): update 2021.,Nucleic Acids Res,2021-01-08,10.1093/nar/gkaa891,33068428,PMC7779006,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Cheng N,Comparison and integration of computational methods for deleterious synonymous mutation prediction,Briefings in Bioinformatics,2020-05-21,10.1093/bib/bbz047,31157880,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85084917441
Zhang S,Comparisons of gene coexpression network modules in breast cancer and ovarian cancer.,BMC Syst Biol,2018-04-11,10.1186/s12918-018-0530-9,29671401,PMC5907153,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Vieira LM,"Competing Endogenous RNA in Colorectal Cancer: An Analysis for Colon, Rectum, and Rectosigmoid Junction.",Front Oncol,2021-06-10,10.3389/fonc.2021.681579,34178670,PMC8222815,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Chen Z,"Complement C7 (C7), a Potential Tumor Suppressor, Is an Immune-Related Prognostic Biomarker in Prostate Cancer (PC).",Front Oncol,2020-08-25,10.3389/fonc.2020.01532,32984006,PMC7477933,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shin J,Complementarity between distance- and probability-based methods of gene neighbourhood identification for pathway reconstruction,Molecular BioSystems,2014-01-01,10.1039/c3mb70366e,24194096,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-84888987051
Del Valle EPG,Completing missing MeSH code mappings in UMLS through alternative expert-curated sources,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2019-06-01,10.1109/CBMS.2019.00044,NA,NA,2019_NAR_Schriml|2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85071011647
Fang Y,Compound annotation with real time cellular activity profiles to improve drug discovery,Expert Opinion on Drug Discovery,2016-03-03,10.1517/17460441.2016.1143460,26787137,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-84958609128
Liu X,Comprehensive Analysis of Expression Regulation for RNA m6A Regulators With Clinical Significance in Human Cancers.,Front Oncol,2021-02-23,10.3389/fonc.2021.624395,33718187,PMC7946859,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Piro R,"Computational approaches to disease-gene prediction: Rationale, classification and successes",FEBS Journal,2012-03-01,10.1111/j.1742-4658.2012.08471.x,22221742,NA,2009_BMCG_Osborne,Journal|Review,scopus,2022-03-17T18:48:46Z,2-s2.0-84857658973
Yang M,Computational drug repositioning based on multi-similarities bilinear matrix factorization,Briefings in Bioinformatics,2021-07-01,10.1093/bib/bbaa267,33147616,NA,2015_NAR_Kibbe,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:47:55Z,2-s2.0-85104410699
Delavan B,Computational drug repositioning for rare diseases in the era of precision medicine,Drug Discovery Today,2018-02-01,10.1016/j.drudis.2017.10.009,29055182,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85033493727
Karaman B,Computational drug repurposing: Current trends,Current Medicinal Chemistry,2019-01-01,10.2174/0929867325666180530100332,29848268,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85075088679
Li Y,Computational identifying and characterizing circular RNAs and their associated genes in hepatocellular carcinoma.,PLoS One,2017-03-27,10.1371/journal.pone.0174436,28346469,PMC5367815,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Garcia-Moreno A,Computational Methods and Software Tools for Functional Analysis of miRNA Data.,Biomolecules,2020-08-28,10.3390/biom10091252,32872205,PMC7563698,2019_NAR_Schriml,Journal Article|Review,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Cheng L,Computational Methods for Identifying Similar Diseases.,Mol Ther Nucleic Acids,2019-12-06,10.1016/j.omtn.2019.09.019,31678735,PMC6838934,2012_NAR_Schriml,Journal Article|Review,pubmed; scopus,2022-03-17T18:47:32Z,NA
Zhang J,Computational Methods for Predicting Autism Spectrum Disorder from Gene Expression Data,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020-01-01,10.1007/978-3-030-65390-3_31,NA,NA,2018_DMM_Bello,Book Series|Conference Paper,scopus,2022-03-17T18:47:46Z,2-s2.0-85101876845
Robinson PN,Computational phenotype analysis in human medicine,Phenomics,2016-04-19,NA,NA,NA,2012_NAR_Schriml,Book|Book Chapter,scopus,2022-03-17T18:48:19Z,2-s2.0-85009395436
Plake C,Computational polypharmacology with text mining and ontologies,Current Pharmaceutical Biotechnology,2011-02-10,10.2174/138920111794480624,21133848,NA,2009_BIX_Du,Journal|Article,scopus,2022-03-17T18:48:50Z,2-s2.0-79551679202
Buza T,Computational prediction of disease microRNAs in domestic animals.,BMC Res Notes,2014-06-27,10.1186/1756-0500-7-403,24970281,PMC4091757,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhang W,"Computational resources associating diseases with genotypes, phenotypes and exposures.",Brief Bioinform,2019-11-27,10.1093/bib/bby071,30102366,PMC6954426,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Moreau Y,Computational tools for prioritizing candidate genes: boosting disease gene discovery.,Nat Rev Genet,2012-07-03,10.1038/nrg3253,22751426,NA,2009_BMCG_Osborne,Journal Article|Review,pubmed; scopus,2022-03-17T18:47:32Z,NA
Lin Y,"Computer-aided biomarker discovery for precision medicine: Data resources, models and applications",Briefings in Bioinformatics,2017-11-02,10.1093/bib/bbx158,29194464,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85068495468
Zhang X,Concepts Expansion in Materials Domain Based on Ontology Matching Results,"Proceedings - 2016 12th International Conference on Semantics, Knowledge and Grids, SKG 2016",2017-01-11,10.1109/SKG.2016.030,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85013236878
Bernasconi A,Conceptual modeling for genomics: Building an integrated repository of open data,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017-01-01,10.1007/978-3-319-69904-2_26,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85033475559
Dyke SO,Consent Codes: Upholding Standard Data Use Conditions.,PLoS Genet,2016-01-21,10.1371/journal.pgen.1005772,26796797,PMC4721915,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Woo XY,Conservation of copy number profiles during engraftment and passaging of patient-derived cancer xenografts.,Nat Genet,2021-01-01,10.1038/s41588-020-00750-6,33414553,PMC7808565,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yu L,Conserved Disease Modules Extracted From Multilayer Heterogeneous Disease and Gene Networks for Understanding Disease Mechanisms and Predicting Disease Treatments.,Front Genet,2019-01-18,10.3389/fgene.2018.00745,30713550,PMC6346701,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Pham T,Constructing a knowledge-based heterogeneous information graph for medical health status classification.,Health Inf Sci Syst,2020-02-14,10.1007/s13755-020-0100-6,32117570,PMC7021844,2019_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Ni P,Constructing Disease Similarity Networks Based on Disease Module Theory,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2020-05-01,10.1109/TCBB.2018.2817624,29993782,NA,2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-85044283137
Shen Y,Constructing ontology-based cancer treatment decision support system with case-based reasoning,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018-01-01,10.1007/978-3-319-73830-7_28,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85041822155
Ma L,Construction and Comprehensive Analysis of a ceRNA Network to Reveal Potential Novel Biomarkers for Triple-Negative Breast Cancer.,Cancer Manag Res,2020-08-07,10.2147/CMAR.S260150,32821169,PMC7423243,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Malhotra A,Construction of a Comprehensive Protein–Protein Interaction Map for Vitiligo Disease to Identify Key Regulatory Elements: A Systemic Approach,Interdisciplinary Sciences: Computational Life Sciences,2018-09-01,10.1007/s12539-017-0213-z,28290051,NA,2012_NAR_Schriml|2009_BIX_Du,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-85050529048
Cao Y,Construction of an miRNA-regulated drug-pathway network reveals drug repurposing candidates for myasthenia gravis.,Int J Mol Med,2017-02-01,10.3892/ijmm.2017.2853,28075449,PMC5358695,2012_NAR_Schriml,Journal Article|Meta-Analysis,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Huang L,Construction of disease-symptom semantic net for misdiagnosis prompt,Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition),2018-05-01,10.13229/j.cnki.jdxbgxb20170406,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85048879912
Hong N,Construction of the cervical cancer common terminology for promoting semantic interoperability and utilization of Chinese clinical data.,BMC Med Inform Decis Mak,2021-11-16,10.1186/s12911-021-01672-x,34789237,PMC8596900,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Griffiths E,Context Is Everything: Harmonization of Critical Food Microbiology Descriptors and Metadata for Improved Food Safety and Surveillance.,Front Microbiol,2017-06-26,10.3389/fmicb.2017.01068,28694792,PMC5483436,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Chowdhary R,Context-specific protein network miner--an online system for exploring context-specific protein interaction networks from the literature.,PLoS One,2012-01-01,10.1371/journal.pone.0034480,22493694,PMC3321019,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Larsen SJ,CoNVaQ: a web tool for copy number variation-based association studies.,BMC Genomics,2018-05-18,10.1186/s12864-018-4732-8,29776329,PMC5960125,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Chen YF,Convergent perturbation of the human domain-resolved interactome by viruses and mutations inducing similar disease phenotypes.,PLoS Comput Biol,2019-02-13,10.1371/journal.pcbi.1006762,30759076,PMC6373925,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Iuliano A,Cosmonet: An r package for survival analysis using screening-network methods,Mathematics,2021-12-01,10.3390/math9243262,NA,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85121286297
Gogate N,COVID-19 biomarkers and their overlap with comorbidities in a disease biomarker data model.,Brief Bioinform,2021-11-05,10.1093/bib/bbab191,34015823,PMC8195003,2015_DB_Wu,Journal Article,pubmed,2022-03-17T18:47:32Z,NA
Gogate N,COVID-19 Biomarkers in research: Extension of the OncoMX cancer biomarker data model to capture biomarker data from other diseases.,bioRxiv,2020-09-10,10.1101/2020.09.09.196220,32935101,PMC7491515,2015_DB_Wu,"
	",pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Sherimon V,Covid-19 Ontology Engineering-Knowledge Modeling of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),International Journal of Advanced Computer Science and Applications,2020-01-01,10.14569/IJACSA.2020.0111115,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85097486519
Schriml LM,COVID-19 pandemic reveals the peril of ignoring metadata standards.,Sci Data,2020-06-19,10.1038/s41597-020-0524-5,32561801,PMC7305141,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zheng X,COVID19-OBKG: An Ontology-Based Knowledge Graph and Web Service for COVID-19,"Proceedings - 2021 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2021",2021-01-01,10.1109/BIBM52615.2021.9669535,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85125166533
Gütebier L,COVIDGraph: Connecting biomedical COVID-19 resources and computational biology models,CEUR Workshop Proceedings,2021-01-01,NA,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85113851722
Fonou-Dombeu JV,COVIDonto: An Ontology Model for Acquisition and Sharing of COVID-19 Data,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2021-01-01,10.1007/978-3-030-78428-7_18,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85111394334
Verstraete N,"CovMulNet19, Integrating Proteins, Diseases, Drugs, and Symptoms: A Network Medicine Approach to COVID-19.",Netw Syst Med,2020-11-17,10.1089/nsm.2020.0011,33274348,PMC7703682,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Koepsell D,Creating a controlled vocabulary for the ethics of human research: towards a biomedical ethics ontology.,J Empir Res Hum Res Ethics,2009-03-01,10.1525/jer.2009.4.1.43,19374479,PMC2725426,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Huangfu C,Creating Neuroscientific Knowledge Organization System Based on Word Representation and Agglomerative Clustering Algorithm.,Front Neuroinform,2020-08-18,10.3389/fninf.2020.00038,33013345,PMC7461893,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Cook HV,Creation and evaluation of a dictionary-based tagger for virus species and proteins,"BioNLP 2017 - SIGBioMed Workshop on Biomedical Natural Language Processing, Proceedings of the 16th BioNLP Workshop",2017-01-01,NA,NA,NA,2015_NAR_Kibbe,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85053829532
Peng H,Cross disease analysis of co-functional microRNA pairs on a reconstructed network of disease-gene-microRNA tripartite.,BMC Bioinformatics,2017-03-24,10.1186/s12859-017-1605-0,28340554,PMC5366146,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Park S,CSgator: an integrated web platform for compound set analysis.,J Cheminform,2019-03-04,10.1186/s13321-019-0339-6,30830479,PMC6419788,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhao M,CSGene: a literature-based database for cell senescence genes and its application to identify critical cell aging pathways and associated diseases.,Cell Death Dis,2016-01-14,10.1038/cddis.2015.414,26775705,PMC4816187,2009_BMCG_Osborne|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Liu Z,"CTR-DB, an omnibus for patient-derived gene expression signatures correlated with cancer drug response.",Nucleic Acids Res,2022-01-07,10.1093/nar/gkab860,34570230,PMC8728209,2019_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Haimel M,Curation and expansion of Human Phenotype Ontology for defined groups of inborn errors of immunity,Journal of Allergy and Clinical Immunology,2022-01-01,10.1016/j.jaci.2021.04.033,33991581,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85119491997
Liang PI,Curation of cancer hallmark-based genes and pathways for in silico characterization of chemical carcinogenesis.,Database (Oxford),2020-01-01,10.1093/database/baaa045,32539087,PMC7294774,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Lim N,Curation of over 10 000 transcriptomic studies to enable data reuse.,Database (Oxford),2021-02-18,10.1093/database/baab006,33599246,PMC7904053,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yan W,Cyto-biological effects of microRNA-424-5p on human colorectal cancer cells.,Oncol Lett,2020-10-01,10.3892/ol.2020.11982,32863933,PMC7448566,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Becker R,DAISY: A Data Information System for accountability under the General Data Protection Regulation.,Gigascience,2019-12-01,10.1093/gigascience/giz140,31800037,PMC6892452,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Couto FM,Data and text processing for health and life sciences,Advances in Experimental Medicine and Biology,2019-01-01,10.1007/978-3-030-13845-5_1,31183816,NA,2019_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85067178666
Zhu X,Data Summarization with Hierarchical Taxonomy,Proceedings of the ACM SIGMOD International Conference on Management of Data,2021-01-01,10.1145/3448016.3450578,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85108946159
Mishra R,Data-driven method to enhance craniofacial and oral phenotype vocabularies.,J Am Dent Assoc,2019-11-01,10.1016/j.adaj.2019.05.029,31668172,PMC6827714,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yue Z,DbCID: A manually curated resource for exploring the driver indels in human cancer,Briefings in Bioinformatics,2019-09-27,10.1093/bib/bby059,30016397,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85069432351
Yue Z,DbCPM: A manually curated database for exploring the cancer passenger mutations,Briefings in Bioinformatics,2018-10-30,10.1093/bib/bby105,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85081542859
Zhao M,dbEMT: an epithelial-mesenchymal transition associated gene resource.,Sci Rep,2015-06-23,10.1038/srep11459,26099468,PMC4477208,2009_BMCG_Osborne|2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shen Y,DbMCS: A Database for Exploring the Mutation Markers of Anti-Cancer Drug Sensitivity,IEEE Journal of Biomedical and Health Informatics,2021-11-01,10.1109/JBHI.2021.3100424,34314366,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85112657257
