ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
8381/3	Synonym	Endometrioid cystadenofibroma, malignant	NA	NA	NA	NA	NA	NA	NA
8382/3	Preferred	Endometrioid adenocarcinoma, secretory variant	NA	NA	NA	NA	NA	NA	NA
8383/3	Preferred	Endometrioid adenocarcinoma, ciliated cell variant	NA	NA	NA	NA	NA	NA	NA
8384/3	Preferred	Adenocarcinoma, endocervical type, NOS	NA	NA	NA	NA	NA	NA	NA
839-842	2	Adnexal and skin appendage neoplasms	NA	NA	NA	NA	NA	NA	NA
8390/0	Preferred	Skin appendage adenoma	(C44._)	NA	NA	NA	NA	NA	NA
8390/0	Synonym	Adnexal tumor, benign	(C44._)	NA	NA	NA	NA	NA	NA
8390/0	Synonym	Skin appendage tumor, benign	(C44._)	NA	NA	NA	NA	NA	NA
8390/3	Preferred	Adnexal adenocarcinoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8390/3	Synonym	Skin appendage carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8390/3	Synonym	Adnexal carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8391/0	Preferred	Follicular fibroma	(C44._)	NA	NA	NA	NA	NA	NA
8391/0	Synonym	Fibrofolliculoma	(C44._)	NA	NA	NA	NA	NA	NA
8391/0	Synonym	Perifollicular fibroma	(C44._)	NA	NA	NA	NA	NA	NA
8391/0	Synonym	Trichodiscoma	(C44._)	NA	NA	NA	NA	NA	NA
8391/0	Related	Spindle cell predominant trichodiscoma	(C44._)	NA	NA	NA	NA	NA	NA
8392/0	Preferred	Syringofibroadenoma	(C44._)	NA	NA	NA	NA	NA	NA
8400/0	Preferred	Sweat gland adenoma	(C44._)	NA	NA	NA	NA	NA	NA
8400/0	Synonym	Syringadenoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8400/0	Synonym	Sweat gland tumor, benign	(C44._)	NA	NA	NA	NA	NA	NA
8400/1	Preferred	Sweat gland tumor, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8400/3	Preferred	Sweat gland adenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8400/3	Synonym	Sweat gland carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8400/3	Synonym	Sweat gland tumor, malignant	(C44._)	NA	NA	NA	NA	NA	NA
8401/0	Preferred	Apocrine adenoma	NA	NA	NA	NA	NA	NA	NA
8401/0	Synonym	Apocrine cystadenoma	NA	NA	NA	NA	NA	NA	NA
8401/3	Preferred	Apocrine adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8401/3	Synonym	Apocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8402/0	Preferred	Hidradenoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8402/0	Synonym	Nodular hidradenoma	(C44._)	NA	NA	NA	NA	NA	NA
8402/0	Related	Clear cell hidradenoma	(C44._)	NA	NA	NA	NA	NA	NA
8402/0	Related	Eccrine acrospiroma	(C44._)	NA	NA	NA	NA	NA	NA
8402/3	Preferred	Hidradenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8402/3	Synonym	Nodular hidradenoma, malignant	(C44._)	NA	NA	NA	NA	NA	NA
8403/0	Preferred	Spiradenoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8403/0	Synonym	Eccrine spiradenoma	(C44._)	NA	NA	NA	NA	NA	NA
8403/3	Preferred	Malignant eccrine spiradenoma	(C44._)	NA	NA	NA	NA	NA	NA
8403/3	Related	Malignant neoplasm arising from pre-existing spiradenoma	(C44._)	NA	NA	NA	NA	NA	NA
8403/3	Related	Malignant neoplasm arising from pre-existing cylindroma	(C44._)	NA	NA	NA	NA	NA	NA
8403/3	Related	Malignant neoplasm arising from pre-existing spiradenocylindroma	(C44._)	NA	NA	NA	NA	NA	NA
8404/0	Preferred	Hidrocystoma	(C44._)	NA	NA	NA	NA	NA	NA
8404/0	Synonym	Hidrocystadenoma	(C44._)	NA	NA	NA	NA	NA	NA
8404/0	Synonym	Eccrine cystadenoma	(C44._)	NA	NA	NA	NA	NA	NA
8405/0	Preferred	Papillary hidradenoma	NA	NA	NA	NA	NA	NA	NA
8405/0	Synonym	Hidradenoma papilliferum	NA	NA	NA	NA	NA	NA	NA
8406/0	Preferred	Syringocystadenoma papilliferum	(C44._)	NA	NA	NA	NA	NA	NA
8406/0	Synonym	Papillary syringadenoma	(C44._)	NA	NA	NA	NA	NA	NA
8406/0	Synonym	Papillary syringocystadenoma	(C44._)	NA	NA	NA	NA	NA	NA
8406/0	Related	Sialadenoma papilliferum	NA	NA	NA	NA	NA	NA	NA
8406/3	Preferred	Syringocystadenocarcinoma papilliferum	NA	NA	NA	NA	NA	NA	NA
8407/0	Preferred	Syringoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8407/0	Related	Syringomatous tumor of nipple	(C50.0)	NA	NA	NA	NA	NA	NA
8407/0	Synonym	Syringomatous adenoma of nipple	(C50.0)	NA	NA	NA	NA	NA	NA
8407/0	Synonym	Infiltrating syringomatous adenoma of nipple	(C50.0)	NA	NA	NA	NA	NA	NA
8407/3	Preferred	Microcystic adnexal carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8407/3	Synonym	Sclerosing sweat duct carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8407/3	Synonym	Syringomatous carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8408/0	Preferred	Eccrine papillary adenoma	(C44._)	NA	NA	NA	NA	NA	NA
8408/3	Preferred	Digital papillary adenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8408/3	Synonym	Aggressive digital papillary adenoma	(C44._)	[obs]	NA	NA	NA	NA	NA
8408/3	Synonym	Eccrine papillary adenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8409/0	Preferred	Poroma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8409/0	Related	Eccrine poroma, NOS	NA	NA	NA	NA	NA	NA	NA
8409/0	Related	Apocrine poroma	NA	NA	NA	NA	NA	NA	NA
8409/2	Preferred	Porocarcinoma in situ	NA	NA	NA	NA	NA	NA	NA
8409/3	Preferred	Porocarcinoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8409/3	Synonym	Eccrine poroma, malignant	(C44._)	NA	NA	NA	NA	NA	NA
8410/0	Preferred	Sebaceoma	(C44._)	NA	NA	NA	NA	NA	NA
8410/0	Related	Sebaceous adenoma	(C44._)	NA	NA	NA	NA	NA	NA
8410/0	Related	Sebaceous epithelioma	(C44._)	NA	NA	NA	NA	NA	NA
8410/3	Preferred	Sebaceous carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8410/3	Synonym	Sebaceous adenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8413/3	Preferred	Eccrine adenocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8420/0	Preferred	Ceruminous adenoma	(C44.2)	NA	NA	NA	NA	NA	NA
8420/3	Preferred	Ceruminous adenocarcinoma	(C44.2)	NA	NA	NA	NA	NA	NA
8420/3	Synonym	Ceruminous carcinoma	(C44.2)	NA	NA	NA	NA	NA	NA
843	2	Mucoepidermoid neoplasms	NA	NA	NA	NA	NA	NA	NA
8430/1	Preferred	Mucoepidermoid tumor	NA	[obs]	NA	NA	NA	NA	NA
8430/3	Preferred	Mucoepidermoid carcinoma	NA	NA	NA	NA	NA	NA	NA
844-849	2	Cystic, mucinous and serous neoplasms	NA	NA	NA	NA	NA	NA	NA
8440/0	Preferred	Cystadenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8440/0	Synonym	Cystoma, NOS	NA	NA	NA	NA	NA	NA	NA
8440/3	Preferred	Cystadenocarcinoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
8441/0	Preferred	Serous cystadenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8441/0	Synonym	Serous cystoma	NA	NA	NA	NA	NA	NA	NA
8441/0	Related	Serous microcystic adenoma	NA	NA	NA	NA	NA	NA	NA
8441/0	Synonym	Papillary serous cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8441/2	Preferred	Serous intraepithelial carcinoma	NA	NA	NA	NA	NA	NA	NA
8441/2	Related	Serous tubal intraepithelial carcinoma (STIC)	(C57.0)	NA	NA	NA	NA	NA	NA
8441/2	Related	Serous endometrial intraepithelial carcinoma	(C54.1)	NA	NA	NA	NA	NA	NA
8441/3	Preferred	Serous carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Serous cystadenocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Serous adenocarcinoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Serous papillary adenocarcinoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Papillary serous cystadenocarcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Papillary serous adenocarcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8441/3	Synonym	Serous surface papillary carcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Preferred	Serous borderline tumor, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Serous tumor, atypical proliferative	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Serous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Serous tumor, NOS, of low malignant potential	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Serous papillary cystic tumor of borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Atypical proliferative papillary serous tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Papillary serous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Papillary serous tumor of low malignant potential	(C56.9)	NA	NA	NA	NA	NA	NA
8442/1	Synonym	Serous surface papillary tumor of borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8443/0	Preferred	Clear cell cystadenoma	(C56.9)	NA	NA	NA	NA	NA	NA
8450/0	Preferred	Papillary cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8450/0	Related	Papillary cystadenofibroma	NA	NA	NA	NA	NA	NA	NA
8450/3	Preferred	Papillary cystadenocarcinoma, NOS	(C56.9)	[obs]	NA	NA	NA	NA	NA
8450/3	Synonym	Papillocystic adenocarcinoma	NA	[obs]	NA	NA	NA	NA	NA
8451/1	Preferred	Papillary cystadenoma, borderline malignancy	(C56.9)	[obs]	NA	NA	NA	NA	NA
8452/1	Preferred	Solid pseudopapillary tumor of ovary	(C56.9)	NA	NA	NA	NA	NA	NA
8452/1	Synonym	Papillary cystic tumor	(C25._)	NA	NA	NA	NA	NA	NA
8452/1	Synonym	Solid and cystic tumor	(C25._)	NA	NA	NA	NA	NA	NA
8452/1	Synonym	Solid and papillary epithelial neoplasm	(C25._)	NA	NA	NA	NA	NA	NA
8452/3	Preferred	Solid pseudopapillary neoplasm of pancreas	(C25._)	NA	NA	NA	NA	NA	NA
8452/3	Related	Solid pseudopapillary carcinoma	NA	NA	NA	NA	NA	NA	NA
8453/0	Preferred	Intraductal papillary mucinous adenoma	(C25._)	NA	NA	NA	NA	NA	NA
8453/0	Related	Intraductal papillary mucinous tumor with intermediate dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/0	Related	Intraductal papillary mucinous tumor with low grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/0	Synonym	Intraductal papillary mucinous neoplasm with low grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/0	Related	Intraductal papillary mucinous tumor with moderate dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/0	Synonym	Intraductal papillary mucinous neoplasm with moderate dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/2	Preferred	Intraductal papillary mucinous neoplasm with high grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8453/2	Related	Intraductal papillary mucinous carcinoma, non-invasive	(C25._)	NA	NA	NA	NA	NA	NA
8453/3	Preferred	Intraductal papillary mucinous neoplasm with an associated invasive carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8453/3	Related	Intraductal papillary mucinous carcinoma, invasive	(C25._)	NA	NA	NA	NA	NA	NA
8454/0	Preferred	Cystic tumor of atrio-ventricular node	(C38.0)	NA	NA	NA	NA	NA	NA
8460/2	Preferred	Serous borderline tumor, micropapillary variant	(C56.9)	NA	NA	NA	NA	NA	NA
8460/2	Synonym	Serous carcinoma, non-invasive, low grade	(C56.9)	NA	NA	NA	NA	NA	NA
8460/3	Preferred	Low grade serous carcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8460/3	Related	Micropapillary serous carcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8461/0	Preferred	Serous surface papilloma	(C56.9)	NA	NA	NA	NA	NA	NA
8461/3	Preferred	High grade serous carcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Preferred	Mucinous cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Synonym	Papillary mucinous cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Synonym	Papillary pseudomucinous cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Synonym	Pseudomucinous cystadenoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Synonym	Mucinous cystoma	(C56.9)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic neoplasm with intermediate grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic neoplasm with intermediate grade intraepithelial neoplasia	(C22._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic neoplasm with low grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic neoplasm with low grade intraepithelial neoplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic tumor with intermediate dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic tumor with low grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/0	Related	Mucinous cystic tumor with moderate dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/2	Preferred	Mucinous cystic neoplasm with high grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/2	Related	Mucinous cystadenocarcinoma, non-invasive	(C25._)	NA	NA	NA	NA	NA	NA
8470/2	Related	Mucinous cystic tumor with high grade dysplasia	(C25._)	NA	NA	NA	NA	NA	NA
8470/2	Synonym	Mucinous cystic neoplasm with high grade intraepithelial neoplasia	(C22._)	NA	NA	NA	NA	NA	NA
8470/3	Preferred	Mucinous cystadenocarcinoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/3	Synonym	Pseudomucinous cystadenocarcinoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8470/3	Synonym	Pseudomucinous adenocarcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8470/3	Related	Mucinous cystic tumor with an associated invasive carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8470/3	Synonym	Mucinous cystic neoplasm with an associated invasive carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8470/3	Synonym	Papillary mucinous cystadenocarcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8470/3	Synonym	Papillary pseudomucinous cystadenocarcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Preferred	Mucinous cystic tumor of borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Mucinous borderline tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Mucinous tumor, NOS, of low malignant potential	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Atypical proliferative mucinous tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Mucinous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Pseudomucinous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Papillary mucinous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Papillary pseudomucinous cystadenoma, borderline malignancy	(C56.9)	NA	NA	NA	NA	NA	NA
8472/1	Synonym	Papillary mucinous tumor of low malignant potential	(C56.9)	NA	NA	NA	NA	NA	NA
8474/0	Preferred	Seromucinous cystadenoma	NA	NA	NA	NA	NA	NA	NA
8474/1	Preferred	Seromucinous borderline tumor	NA	NA	NA	NA	NA	NA	NA
8474/1	Synonym	Seromucinous tumor, atypical proliferative	NA	NA	NA	NA	NA	NA	NA
8474/3	Preferred	Seromucinous carcinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8480/0	Preferred	Mucinous adenoma	NA	NA	NA	NA	NA	NA	NA
8480/0	Related	Mucous gland adenoma	NA	NA	NA	NA	NA	NA	NA
8480/1	Preferred	Low grade appendiceal mucinous neoplasm	(C18.1)	NA	NA	NA	NA	NA	NA
8480/3	Preferred	Mucinous adenocarcinoma	NA	NA	NA	NA	NA	(except of lung M-8253/3)	NA
8480/3	Synonym	Acinar adenocarcinoma, mucinous variant	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Colloid adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Colloid carcinoma	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Gelatinous adenocarcinoma	NA	[obs]	NA	NA	NA	NA	NA
8480/3	Synonym	Gelatinous carcinoma	NA	[obs]	NA	NA	NA	NA	NA
8480/3	Synonym	Mucinous carcinoma	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Mucoid adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Mucoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8480/3	Synonym	Mucous adenocarcinoma	NA	[obs]	NA	NA	NA	NA	NA
8480/3	Synonym	Mucous carcinoma	NA	[obs]	NA	NA	NA	NA	NA
8480/3	Related	Pseudomyxoma peritonei with unknown primary site	(C80.9)	NA	NA	NA	NA	NA	NA
8480/3	Related	Mucinous tubular and spindle cell carcinoma	(C64.9)	NA	NA	NA	NA	NA	NA
8480/6	Preferred	Pseudomyxoma peritonei	NA	NA	NA	NA	NA	NA	NA
8481/3	Preferred	Mucin-producing adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8481/3	Synonym	Mucin-producing carcinoma	NA	NA	NA	NA	NA	NA	NA
8481/3	Synonym	Mucin-secreting adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8481/3	Synonym	Mucin-secreting carcinoma	NA	NA	NA	NA	NA	NA	NA
8482/3	Preferred	Mucinous carcinoma, gastric type	(C53._)	NA	NA	NA	NA	NA	NA
8482/3	Synonym	Mucinous adenocarcinoma, endocervical type	(C53._)	[obs]	NA	NA	NA	NA	NA
8490/3	Preferred	Signet ring cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8490/3	Synonym	Signet ring cell adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8490/3	Synonym	Acinar adenocarcinoma, signet ring-like variant	NA	NA	NA	NA	NA	NA	NA
8490/3	Synonym	Mucinous carcinoma, signet ring cell type	NA	NA	NA	NA	NA	NA	NA
8490/3	Related	Poorly cohesive carcinoma	NA	NA	NA	NA	NA	NA	NA
8490/3	Related	Signet ring cell/histiocytoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8490/6	Preferred	Metastatic signet ring cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8490/6	Related	Krukenberg tumor	NA	NA	NA	NA	NA	NA	NA
850-854	2	Ductal and lobular neoplasms	NA	NA	NA	NA	NA	NA	NA
8500/2	Preferred	Intraductal carcinoma, noninfiltrating, NOS	NA	NA	NA	NA	NA	NA	NA
8500/2	Synonym	Intraductal adenocarcinoma, noninfiltrating, NOS	NA	NA	NA	NA	NA	NA	NA
8500/2	Synonym	Intraductal carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8500/2	Related	Ductal carcinoma in situ, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8500/2	Synonym	DCIS, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8500/2	Synonym	DIN 3	(C50._)	NA	NA	NA	NA	NA	NA
8500/2	Synonym	Ductal intraepithelial neoplasia 3	(C50._)	NA	NA	NA	NA	NA	NA
8500/2	Related	Cystic hypersecretory carcinoma, intraductal	(C50._)	NA	NA	NA	NA	NA	NA
8500/3	Preferred	Infiltrating duct carcinoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Invasive breast carcinoma of no special type	(C50._)	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Duct adenocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Duct carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Ductal carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Duct cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8500/3	Synonym	Infiltrating duct adenocarcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8500/3	Related	Basal-like carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8500/3	Related	Adenocarcinoma of mammary gland type	NA	NA	NA	NA	NA	NA	NA
8500/3	Related	Adenocarcinoma of anogenital mammary-like glands	NA	NA	NA	NA	NA	NA	NA
8500/3	Related	Carcinoma of male breast	(C50._)	NA	NA	NA	NA	NA	NA
8501/2	Preferred	Comedocarcinoma, noninfiltrating	(C50._)	NA	NA	NA	NA	NA	NA
8501/2	Synonym	Ductal carcinoma in situ, comedo type	(C50._)	NA	NA	NA	NA	NA	NA
8501/2	Synonym	DCIS, comedo type	(C50._)	NA	NA	NA	NA	NA	NA
8501/3	Preferred	Comedocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8502/3	Preferred	Secretory carcinoma	NA	NA	NA	NA	NA	NA	NA
8502/3	Related	Juvenile carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8503/0	Preferred	Intraductal papilloma	NA	NA	NA	NA	NA	NA	NA
8503/0	Synonym	Duct adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8503/0	Synonym	Ductal papilloma	NA	NA	NA	NA	NA	NA	NA
8503/0	Related	Intraductal papillary neoplasm, NOS	NA	NA	NA	NA	NA	NA	NA
8503/0	Related	Intracystic papillary neoplasm with low grade intraepithelial neoplasia	(C23.9)	NA	NA	NA	NA	NA	NA
8503/0	Synonym	Intracystic papillary neoplasm with intermediate grade intraepithelial neoplasia	(C23.9)	NA	NA	NA	NA	NA	NA
8503/0	Synonym	Intraglandular papillary neoplasm with low grade intraepithelial neoplasia	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8503/0	Synonym	Intraductal papillary neoplasm with intermediate grade neoplasia	(C22._, C24.0)	NA	NA	NA	NA	NA	NA
8503/0	Related	Intraductal papillary neoplasm with low grade intraepithelial neoplasia	(C22._, C24.0)	NA	NA	NA	NA	NA	NA
8503/0	Related	Intraductal tubular-papillary neoplasm, low grade	NA	NA	NA	NA	NA	NA	NA
8503/0	Related	Intraductal papilloma with atypical ductal hyperplasia	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Preferred	Noninfiltrating intraductal papillary adenocarcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intraductal papillary adenocarcinoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intraductal papillary carcinoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	DCIS, papillary	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Ductal carcinoma in situ, papillary	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Noninfiltrating intraductal papillary carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Related	Intraductal papilloma with DCIS	(C50._)	NA	NA	NA	NA	NA	NA
8503/2	Related	Intraductal papillary neoplasm with high grade intraepithelial neoplasia	NA	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intracystic papillary neoplasm with high grade intraepithelial neoplasia	(C23.9)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intracystic papillary tumor with high grade dysplasia	(C23.9)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intracystic papillary tumor with high grade intraepithelial neoplasia	(C23.9)	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intraductal papillary neoplasm with high grade dysplasia	NA	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intraductal papillary tumor with high grade dysplasia	NA	NA	NA	NA	NA	NA	NA
8503/2	Synonym	Intraductal papillary tumor with high grade intraepithelial neoplasia	NA	NA	NA	NA	NA	NA	NA
8503/2	Related	Intraductal tubular-papillary neoplasm, high grade	NA	NA	NA	NA	NA	NA	NA
8503/2	Related	Intraductal tubulopapillary neoplasm	NA	NA	NA	NA	NA	NA	NA
8503/3	Preferred	Intraductal papillary adenocarcinoma with invasion	(C50._)	NA	NA	NA	NA	NA	NA
8503/3	Synonym	Infiltrating papillary adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8503/3	Synonym	Infiltrating and papillary adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8503/3	Related	Papillary carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8503/3	Related	Intraductal papillary neoplasm with associated invasive carcinoma	NA	NA	NA	NA	NA	NA	NA
8503/3	Synonym	Intracystic papillary neoplasm with associated invasive carcinoma	(C23.9)	NA	NA	NA	NA	NA	NA
8504/0	Preferred	Intracystic papillary adenoma	NA	NA	NA	NA	NA	NA	NA
8504/0	Synonym	Intracystic papilloma	NA	NA	NA	NA	NA	NA	NA
8504/2	Preferred	Encapsulated papillary carcinoma	NA	NA	NA	NA	NA	(except of thyroid M-8343/3)	NA
8504/2	Synonym	Noninfiltrating intracystic carcinoma	NA	NA	NA	NA	NA	NA	NA
8504/2	Synonym	Encysted papillary carcinoma	NA	NA	NA	NA	NA	NA	NA
8504/2	Synonym	Intracystic papillary carcinoma	NA	NA	NA	NA	NA	NA	NA
8504/2	Synonym	Intracystic carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8504/2	Synonym	Intracystic papillary adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8504/3	Preferred	Encapsulated papillary carcinoma with invasion	NA	NA	NA	NA	NA	NA	NA
8504/3	Synonym	Encysted papillary carcinoma with invasion	NA	NA	NA	NA	NA	NA	NA
8504/3	Synonym	Intracystic papillary carcinoma with invasion	NA	NA	NA	NA	NA	NA	NA
8505/0	Preferred	Intraductal papillomatosis, NOS	NA	NA	NA	NA	NA	NA	NA
8505/0	Synonym	Diffuse intraductal papillomatosis	NA	NA	NA	NA	NA	NA	NA
8506/0	Preferred	Adenoma of nipple	(C50.0)	NA	NA	NA	NA	NA	NA
8506/0	Synonym	Subareolar duct papillomatosis	(C50.0)	NA	NA	NA	NA	NA	NA
8507/2	Preferred	Intraductal micropapillary carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8507/2	Synonym	Ductal carcinoma in situ, micropapillary	(C50._)	NA	NA	NA	NA	NA	NA
8507/2	Related	Intraductal carcinoma, clinging, high grade	(C50._)	NA	NA	NA	NA	NA	NA
8507/3	Preferred	Invasive micropapillary carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8507/3	Synonym	Micropapillary carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
